5,4,4,1766.51,5206,
10,9,9,1760.73,5206,
15,11,11,1754.75,5206,
20,14,14,1748.77,5206,
25,17,17,1742.84,5206,
30,19,19,1736.99,5206,
35,19,19,1731.45,5206,
40,21,21,1726.26,5206,
45,22,22,1720.77,5206,
50,23,23,1715.36,5206,
55,27,27,1709.89,5324,
60,38,38,1779.47,5451,
65,43,43,1794.23,5708,
70,45,45,1885.19,5707,
75,41,41,1900.82,5707,
80,38,38,1989.74,6219,
85,35,35,1993.18,6219,
90,33,33,2038.67,6219,
95,30,30,2091.12,6219,
100,28,28,2143.99,6219,
105,27,27,2238.38,7243,
110,27,27,2269.69,7243,
115,37,37,2337.79,7243,
120,44,44,2387.93,7243,
125,41,41,2451.31,7243,
130,39,39,2505.70,7243,
135,38,38,2552.12,7243,
140,36,36,2609.20,7243,
145,35,35,2674.77,7243,
150,35,35,2712.84,7243,
155,35,34,2782.22,9300,
160,35,35,2836.78,9291,
165,45,45,2893.23,9291,
170,55,54,2932.68,9291,
175,57,57,2979.61,9291,
180,53,53,3012.49,9291,
185,53,52,3070.67,9291,
190,52,52,3098.92,9291,
195,52,52,3166.44,9291,
200,51,50,3183.93,9291,
205,47,47,3250.95,9291,
210,47,46,3261.17,9291,
215,46,46,3329.77,9291,
220,48,48,3386.83,9291,
225,52,52,3444.74,9291,
230,49,49,3504.90,9291,
235,45,45,3501.51,9291,
240,41,41,3572.29,9291,
245,39,39,3605.75,9291,
250,38,38,3646.20,9291,
255,33,32,3719.69,9291,
260,32,32,3739.51,9291,
265,35,35,3818.51,9291,
270,42,42,3829.37,13404,
275,45,45,3902.94,13387,
280,42,42,3920.12,13387,
285,39,39,3999.14,13387,
290,39,39,4008.36,13387,
295,36,36,4086.34,13387,
300,34,34,4094.33,13387,
305,32,32,4098.39,13387,
310,34,33,4092.98,13387,
315,47,47,4105.97,13387,
320,41,41,4218.16,13387,
325,40,40,4245.25,13387,
330,42,42,4281.62,13387,
335,44,44,4334.25,13387,
340,45,45,4357.02,13387,
345,49,49,4426.52,13387,
350,51,51,4434.33,13387,
355,63,63,4499.06,13387,
360,72,72,4532.83,13387,
365,70,70,4568.92,13387,
370,65,65,4617.02,13387,
375,64,64,4640.11,13387,
380,60,60,4708.33,13387,
385,59,58,4731.53,13387,
390,58,58,4823.17,13387,
395,66,66,4837.46,13387,
400,70,70,4918.21,13387,
405,78,78,4926.38,13387,
410,71,70,5001.14,13387,
415,68,68,5015.24,13387,
420,67,67,5084.98,13387,
425,64,63,5091.51,13387,
430,60,60,5148.70,13387,
435,53,53,5194.08,13387,
440,47,47,5214.19,13387,
445,48,48,5277.83,13387,
450,50,50,5348.37,13387,
455,50,50,5368.78,13387,
460,46,46,5422.46,13387,
465,42,42,5430.71,13387,
470,38,38,5455.07,13387,
475,35,35,5541.55,13387,
480,33,33,5555.78,13387,
485,32,32,5623.86,17484,
490,35,34,5640.84,17484,
495,45,44,5716.65,17484,
500,57,57,5711.67,17484,
505,61,60,5752.70,17484,
510,58,58,5781.18,17484,
515,57,57,5814.80,17484,
520,54,54,5879.50,17484,
525,54,53,5920.69,17484,
530,52,52,5914.58,17484,
535,50,50,5993.49,17484,
540,55,55,6003.69,17484,
545,58,57,6086.06,17484,
550,53,53,6078.05,17484,
555,50,50,6164.54,17484,
560,44,44,6172.36,17484,
565,39,39,6251.03,17484,
570,37,37,6246.79,17484,
575,35,35,6296.21,17484,
580,33,33,6340.70,17484,
585,38,38,6397.19,17484,
590,46,46,6417.89,17484,
595,53,53,6473.67,17484,
600,47,47,6512.19,17484,
605,43,42,6568.03,17484,
610,39,39,6569.25,17484,
615,35,35,6621.97,17484,
620,32,32,6666.21,17484,
625,30,30,6699.95,17484,
630,29,29,6770.11,17484,
635,27,27,6763.81,17484,
640,37,37,6828.46,17484,
645,41,40,6833.37,17484,
650,46,46,6903.20,17484,
655,41,41,6901.45,17484,
660,38,38,6972.99,17484,
665,33,33,6976.07,17484,
670,33,33,7018.96,17484,
675,33,33,7046.43,17484,
680,32,32,7113.61,17484,
685,33,32,7141.21,17484,
690,39,39,7175.77,25708,
695,49,49,7203.15,5206,
700,57,57,7200.77,5206,
705,54,53,7198.60,5206,
710,51,50,7197.07,5206,
715,49,48,7191.77,5206,
720,46,46,7183.35,5206,
725,47,47,7169.92,5206,
730,48,47,7151.40,5206,
735,48,48,7133.11,5206,
740,49,49,7114.94,5206,
745,58,58,7096.84,5206,
750,69,69,7090.14,5206,
755,77,76,7086.05,5206,
760,71,71,7079.06,5206,
765,67,67,7066.69,5206,
770,62,62,7049.76,5206,
775,60,60,7032.93,5206,
780,58,58,7017.50,5206,
785,53,52,7015.74,5206,
790,48,48,7014.30,5206,
795,44,44,7012.06,5206,
800,51,50,7006.26,5206,
805,59,59,6998.56,5206,
810,61,61,6987.02,5206,
815,63,63,6968.95,5206,
820,55,55,6950.56,5206,
825,49,49,6932.49,5206,
830,44,44,6915.09,5206,
835,41,41,6897.96,5206,
840,37,37,6891.84,5206,
845,34,34,6890.71,5206,
850,32,32,6889.51,5206,
855,34,34,6888.21,5206,
860,44,44,6886.79,5206,
865,48,48,6885.16,5206,
870,44,43,6883.46,5206,
875,39,39,6882.48,5206,
880,35,35,6876.81,5206,
885,32,32,6863.25,5206,
890,30,30,6846.38,5206,
895,28,28,6829.52,5206,
900,26,26,6812.06,5206,
